utterance,intent,intent1
option part time,flexible_work_arrangement.what_is_part_time_policy,33
health screening package bank offer,general_benefits.annual_health_screening,43
panel clinic specialist,medical.where_can_i_view_the_list_of_panel_clinics,189
panel specialist,medical.where_can_i_view_the_list_of_panel_clinics,189
part time weekly working hour,flexible_work_arrangement.what_is_part_time_policy,33
park register earlier health,ihealth.early_bird_registration_prizes,80
pf loan guideline,payroll.what_is_the_option_of_loan_against_pf,279
pf loan policy,payroll.what_is_the_option_of_loan_against_pf,279
policy car lease,payroll.what_is_car_lease_scheme,271
preferred location daycare,general_benefits.daycare_partners_reimbursement_policy,45
prize semi pro level,ihealth.how_do_rewards_tiers_work,82
procedure change name need update arm,people_hub.how_to_update_legal_name_in_people_hub,317
requirement supplementary shield plan,training.training_enquiries_supplementary_shield_plan,485
risk join share,shares.ishares_and_risk,403
role ambulance service,medical.what_is_ambulance_services,183
role hip manager,hipo_management.what_happens_to_high_potentials,56
role eligible skill skill training,future_of_work.type_of_upskilling_and_reskilling_programmes_from_bank,40
role replaceable digitalisation,future_of_work.what_roles_are_impacted_due_to_future_of_work,41
role developed upskilling programme,future_of_work.type_of_upskilling_and_reskilling_programmes_from_bank,40
skill needed career advancement,future_of_work.skills_needed_to_continue_building_career_in_dbs,39
skill needed make perform better work,performance_and_development.my_skills,371
skill required role,performance_and_development.my_skills,371
skill required keep abreast changing environment,future_of_work.skills_needed_to_continue_building_career_in_dbs,39
staff banking privilege,iprivileges.eligibility_for_staff_banking_privileges,107
staff general privilege,general_benefits.benefits,44
step meal claim submission,payroll.meal_claim,253
step new staff reset 1bank pw,onboarding.new_hire_1bank_password,211
step new staff reset 1bank pw,onboarding.new_hire_1bank_password,211
step staff obtain feedback project team member,performance_and_development.how_to_get_feedback,354
step wet nomination process,itq_and_wetq.how_to_submit_itq_or_wetq_nomination,130
step add additional skill skill inventory,performance_and_development.how_do_i_assess_or_update_my_skills,348
step add emergency contact number work day portal,people_hub.how_to_update_emergency_contact_info_in_people_hub,313
step add child detail hr record,people_hub.how_to_add_newborns___childs_details_in_people_hub,293
step add outside appointment online,people_hub.how_to_submit_outside_appointment_in_people_hub,310
step apply employee education loan,iprivileges.how_to_apply_for_staff_study_loan,113
step apply internal mobility,internal_mobility.internal_mobility_application_process,98
step assign goal employee,performance_and_development.cascading_of_goals_by_manager,339
step complete goal setting,performance_and_development.how_to_add_or_edit_my_goals,350
step decrease monthly share contribution,shares.can_i_stop_or_change_my_ishares_contribution,391
step enroll medical plan,medical.how_can_i_enroll_myself___dependants_into_the_medical_scheme,164
step enroll staff training,training.can_managers_enroll_staff_for_courses,450
step extend new hire probation,people_hub.confirmation_of_staff_in_people_hub,289
step generate comp letter directs,compensation.how_to_view_my_team_compensation_eletters,10
step key ki people hub,performance_and_development.how_to_add_or_edit_my_goals,350
step launch learning,training.where_can_i_locate_my_e-learnings_in_dbs_learning_hub,496
step open security account,shares.how_to_open_cdp_account,400
step retrieve feedback given,performance_and_development.how_to_view_feedback_received,363
step review direct report pdr,performance_and_development.how_to_complete_manager_yer_evaluation,353
step search training horizon,training.how_do_i_know_what_programme_dbs_academy_offers,466
step set ki employee,performance_and_development.cascading_of_goals_by_manager,339
step submit guest opportunity,talent_management.host_a_be_my_guest_opportunity,440
step update skill learning hub,performance_and_development.how_do_i_assess_or_update_my_skills,348
supplementary shield requirement,training.training_enquiries_supplementary_shield_plan,485
task boarding,onboarding.onboarding,214
term condition car lease,payroll.what_is_car_lease_scheme,271
term condition vehicle lease,payroll.what_is_car_lease_scheme,271
term car lease resigning organisation,payroll.what_is_car_lease_scheme,271
training given bank staff skill prepare u future,future_of_work.type_of_upskilling_and_reskilling_programmes_from_bank,40
type leave,leave.leave_guidelines,150
type leaf,leave.leave_guidelines,150
type mc accepted bank,medical.medical_certificate,176
type work redundant future,future_of_work.what_roles_are_impacted_due_to_future_of_work,41
value compensation based upon,compensation.what_is_dbs_rewards_philosophy,14
various skill program bank providing,future_of_work.type_of_upskilling_and_reskilling_programmes_from_bank,40
way earn health point,ihealth.how_to_earn_rewards_points,84
way give appreciation team colleague worked together bring project fruition,itq_and_wetq.recognition_in_dbs,132
way available one recognise peer,itq_and_wetq.recognition_in_dbs,132
way earn health reward,ihealth.how_to_earn_rewards_points,84
way get higher chance winning lucky draw,ihealth.how_do_rewards_tiers_work,82
way open cdp account,shares.how_to_open_cdp_account,400
way recognise effort grp colleague belong different teamsdept,itq_and_wetq.recognition_in_dbs,132
brand tracker connect health,ihealth.how_to_connect_my_device_to_ihealth_app,83
claim flex,iflex.what_can_be_claimed_against_iflex,75
claim flex,iflex.what_can_be_claimed_against_iflex,75
new hr system,people_hub.dbs_people_hub,290
find policy internal mobility,internal_mobility.internal_mobility,97
claimed outpatient,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,174
claimed flex,iflex.what_can_be_claimed_against_iflex,75
claimed flex,iflex.what_can_be_claimed_against_iflex,75
considered block leave,leave.what_can_be_considered_as_block_leave,153
reimbursed general flex,iflex.what_can_be_claimed_against_iflex,75
claim flex claim,iflex.what_can_be_claimed_against_iflex,75
claim flex,iflex.what_can_be_claimed_against_iflex,75
claim flex,iflex.what_can_be_claimed_against_iflex,75
claim flex,iflex.what_can_be_claimed_against_iflex,75
claim medical,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,174
get health reward point,ihealth.reward_points_in_ihealth_app,88
use flex,iflex.what_can_be_claimed_against_iflex,75
cannot leave,leave.can_i_work_during_block_leave,141
answer feedback,performance_and_development.anytime_feedback,331
company db partner obtain market info,compensation.what_is_market_benchmarking,15
constitutes benefit kind,payroll.benefits-in-kind_in_form_ir8e,218
constitutes parenthood leave,leave.leave_guidelines,150
constitutes standard letter,standard_letter_request.can_hr_prepare_a_letter_for_me,421
date leave,leave.leaves_of_direct_reports,151
cf refund,payroll.cpf_refund_letter,225
earned it,itq_and_wetq.how_to_redeem_itq_wetq_rewards,129
need want cover insurance plan,medical.how_can_i_enroll_myself___dependants_into_the_medical_scheme,164
need last day,offboarding.return_of_staff_pass_and_bank_properties,202
need last day,offboarding.return_of_staff_pass_and_bank_properties,202
need upon receiving employee resignation,offboarding.manager_to-do_list_for_employee_resignation,197
pay panel clinic,medical.how_do_i_go_about_paying_my_medical_bills,166
mean impact loss,hipo_management.what_is_impact_of_loss,59
hip mean,hipo_management.objectives_of_dbs_high_potential_hipo_programme,55
manually advanced year end compensation template mean,compensation.status_of_compensation_review_plan,11
orientation cover,onboarding.duration_of_new_hire_orientation,206
whitelist mean enroll learning,training.how_to_confirm_my_enrollment_when_im_on_the_waitlist_in_dbs_learning_hub,471
close position mean,people_hub.how_to_approve_resignation_in_people_hub,298
db profit earned,compensation.what_is_balanced_distribution_of_earnings,13
digit,training.what_is_digify,491
hi five mean,ihealth.ihealth_app_features,87
hip programme achieve,hipo_management.objectives_of_dbs_high_potential_hipo_programme,55
flex cover,iflex.what_can_be_claimed_against_iflex,75
flex entail,iflex.what_can_be_claimed_against_iflex,75
impact loss mean,hipo_management.what_is_impact_of_loss,59
manually advanced status comp review mean,compensation.status_of_compensation_review_plan,11
regrettable mean,people_hub.how_to_approve_resignation_in_people_hub,298
shield companion,medical.what_is_shield_companion,186
shield plan,medical.what_is_shield_companion,186
staff transition plan cover,future_of_work.employee_transition_plan,35
factor taken account determining salary increment budget,compensation.how_is_salary_increase_budget_determined,6
