,utterance,intent,intent1,pred_idx,pred_values,top_p1,top_p2,top_p3,top_class1,top_class2,top_class3,predictions1,predictions2,predictions3
2601,dignify badge,training.what_is_digify,490,104,iprivileges.corporate_credit_card,0.04151677340269089,0.02255093865096569,0.021371355280280113,104,314,184,iprivileges.corporate_credit_card,people_hub.how_to_update_employee_education_in_people_hub,medical.what_is_an_e-card
2602,change reporting manager,staff_info_update.change_in_reporting_manager,408,408,staff_info_update.change_in_reporting_manager,0.4675402045249939,0.03092087060213089,0.017201587557792664,408,19,212,staff_info_update.change_in_reporting_manager,cwms.assignment_amendments_in_cwms,onboarding.new_hire_profile
2603,new joiner on board,onboarding.onboarding,214,214,onboarding.onboarding,0.6018307209014893,0.09643292427062988,0.017493581399321556,214,203,347,onboarding.onboarding,onboarding.arrangements_for_new_hire_prior_to_onboarding,performance_and_development.how_can_new_hires_complete_their_pd
2604,view my contract,onboarding.letter_of_appointment,209,209,onboarding.letter_of_appointment,0.4983157217502594,0.05812983587384224,0.016035795211791992,209,425,96,onboarding.letter_of_appointment,standard_letter_request.can_i_request_dbs_to_generate_certificate_of_employment_for_me,internal_mobility.how_to_upload_attachments_in_dbs_recruiting_hub
2605,how to create chat bot,onboarding.onboarding,214,290,people_hub.dbs_people_hub,0.1737038493156433,0.08012302964925766,0.0607212632894516,290,51,31,people_hub.dbs_people_hub,general_benefits.who_is_my_hr_rm,employee_referral_programme.one_name_each_guide
2606,on target,performance_and_development.request_for_a_performance_discussion_with_my_manager,376,186,medical.what_is_shield_companion,0.057569149881601334,0.04854997992515564,0.030043842270970345,186,381,40,medical.what_is_shield_companion,performance_and_development.what_constitutes_a_good_goal,future_of_work.type_of_upskilling_and_reskilling_programmes_from_bank
2607,job ranking,internal_mobility.internal_mobility_application_process,98,95,internal_mobility.how_to_save_jobs_in_dbs_recruiting_hub,0.378585547208786,0.11579029262065887,0.11544692516326904,95,98,102,internal_mobility.how_to_save_jobs_in_dbs_recruiting_hub,internal_mobility.internal_mobility_application_process,internal_mobility.job_posting_notification_in_dbs_recruiting_hub
2608,credit card application,iprivileges.personal_credit_cards_application,116,116,iprivileges.personal_credit_cards_application,0.8331634402275085,0.0549607127904892,0.0029511020984500647,116,104,184,iprivileges.personal_credit_cards_application,iprivileges.corporate_credit_card,medical.what_is_an_e-card
2609,corporate card cancellation,iprivileges.corporate_credit_card,104,104,iprivileges.corporate_credit_card,0.2731509208679199,0.1449095755815506,0.045151036232709885,104,116,213,iprivileges.corporate_credit_card,iprivileges.personal_credit_cards_application,onboarding.new_hire_staff_pass
2610,credit card limit review,iprivileges.personal_credit_cards_application,116,116,iprivileges.personal_credit_cards_application,0.8214951157569885,0.06037595123052597,0.002958109835162759,116,104,184,iprivileges.personal_credit_cards_application,iprivileges.corporate_credit_card,medical.what_is_an_e-card
2611,dbs share as aesop,shares.how_can_i_find_out_the_price_of_a_dbsh_share,394,394,shares.how_can_i_find_out_the_price_of_a_dbsh_share,0.5445565581321716,0.024552099406719208,0.022861072793602943,394,396,407,shares.how_can_i_find_out_the_price_of_a_dbsh_share,shares.how_is_the_share_price_determined,shares.will_dbs_match_my_personal_dbsh_shares
2612,corporate title,iprivileges.corporate_credit_card,104,317,people_hub.how_to_update_legal_name_in_people_hub,0.11737963557243347,0.08841928094625473,0.04861554130911827,317,433,413,people_hub.how_to_update_legal_name_in_people_hub,standard_letter_request.dbs_letterhead_and_dbs_company_stamp,staff_info_update.i_have_recently_changed_my_name__how_do_i_update_it
2613,dbs corporate rank,compensation.what_is_dbs_rewards_philosophy,14,4,compensation.how_does_the_bank_achieve_market_competitiveness,0.030074557289481163,0.01652245968580246,0.01589062064886093,4,322,394,compensation.how_does_the_bank_achieve_market_competitiveness,people_hub.how_to_view_org_chart_in_people_hub,shares.how_can_i_find_out_the_price_of_a_dbsh_share
2614,where to check our db offer letter,onboarding.letter_of_appointment,209,209,onboarding.letter_of_appointment,0.7400602698326111,0.05976042523980141,0.008820859715342522,209,425,94,onboarding.letter_of_appointment,standard_letter_request.can_i_request_dbs_to_generate_certificate_of_employment_for_me,internal_mobility.how_to_amend_or_withdraw_im_submission
2615,tech bar,compensation.what_is_market_benchmarking,15,290,people_hub.dbs_people_hub,0.05322446674108505,0.029404502362012863,0.02826903946697712,290,454,210,people_hub.dbs_people_hub,training.dbs_academy_rooms,onboarding.login_access_to_taleo
2616,chinese new year shuttle bus,leave.list_of_public_holidays,152,47,general_benefits.festive_early_release,0.39802706241607666,0.13975027203559875,0.023649530485272408,47,152,229,general_benefits.festive_early_release,leave.list_of_public_holidays,payroll.festive_early_pay
2617,investment prof submission,payroll.how_to_submit_my_investment_proofs,242,242,payroll.how_to_submit_my_investment_proofs,0.48605188727378845,0.3523833751678467,0.015070400200784206,242,241,236,payroll.how_to_submit_my_investment_proofs,payroll.how_to_submit_my_investment_declaration,payroll.how_to_change_my_mpf_investment_fund_choices
2618,i be not able to update hardhat number in epoxy portal,people_hub.how_to_update_national_id_or_government_id_in_people_hub,318,318,people_hub.how_to_update_national_id_or_government_id_in_people_hub,0.7340633869171143,0.023315584287047386,0.01501045934855938,318,312,204,people_hub.how_to_update_national_id_or_government_id_in_people_hub,people_hub.how_to_update_contact_info_in_people_hub,onboarding.can_i_change_my_1bank_id
2619,management corporation with no management corporation,medical.medical_certificate,176,415,staff_info_update.outside_appointment,0.04623299464583397,0.031393732875585556,0.019009696319699287,415,266,51,staff_info_update.outside_appointment,payroll.transport_reimbursement,general_benefits.who_is_my_hr_rm
2620,i m a new joiner and my staff pass be not yet activate,onboarding.new_hire_staff_pass,213,213,onboarding.new_hire_staff_pass,0.9614418745040894,0.003737866412848234,0.0017058034427464008,213,184,436,onboarding.new_hire_staff_pass,medical.what_is_an_e-card,standard_letter_request.how_can_i_get_a_replacement_work_pass_ep_ltvp_dependant_pass_s_pass
2621,en cash leave,leave.leave_encashment,149,140,leave.can_i_take_leave,0.8675615787506104,0.0431346632540226,0.03421204909682274,140,329,149,leave.can_i_take_leave,people_hub.what_is_my_leave_balance,leave.leave_encashment
2622,cony note,leave.list_of_public_holidays,152,9,compensation.how_to_view_my_compensation_eletter,0.058921635150909424,0.03265564143657684,0.026808451861143112,9,105,114,compensation.how_to_view_my_compensation_eletter,iprivileges.dbs_staff_promotion,iprivileges.how_to_participate_in_dbs_staff_promotion
2623,apply leave family day,leave.can_i_apply_back_dated_leave,137,140,leave.can_i_take_leave,0.9758047461509705,0.010276788845658302,0.0021900618448853493,140,150,329,leave.can_i_take_leave,leave.leave_guidelines,people_hub.what_is_my_leave_balance
2624,application repository,internal_mobility.internal_mobility_application_process,98,101,internal_mobility.internal_mobility_system_escalation,0.23872865736484528,0.18479065597057343,0.1046457588672638,101,96,98,internal_mobility.internal_mobility_system_escalation,internal_mobility.how_to_upload_attachments_in_dbs_recruiting_hub,internal_mobility.internal_mobility_application_process
2625,i need my compensation letter,compensation.how_to_view_my_compensation_eletter,9,9,compensation.how_to_view_my_compensation_eletter,0.48140448331832886,0.05600279942154884,0.03451843559741974,9,10,16,compensation.how_to_view_my_compensation_eletter,compensation.how_to_view_my_team_compensation_eletters,compensation.when_will_the_compensation_eletter_communication_start
2626,pf statement,payroll.how_to_view_my_vpf_contribution,245,245,payroll.how_to_view_my_vpf_contribution,0.6761497259140015,0.12184695154428482,0.015393762849271297,245,270,261,payroll.how_to_view_my_vpf_contribution,payroll.vpf_contribution,payroll.relevant_income_under_mpf
2627,link to mobility policy,internal_mobility.internal_mobility,97,97,internal_mobility.internal_mobility,0.40784966945648193,0.0891508013010025,0.03192510828375816,97,98,95,internal_mobility.internal_mobility,internal_mobility.internal_mobility_application_process,internal_mobility.how_to_save_jobs_in_dbs_recruiting_hub
2628,laptop break down,compensation.what_is_market_benchmarking,15,436,standard_letter_request.how_can_i_get_a_replacement_work_pass_ep_ltvp_dependant_pass_s_pass,0.04295109212398529,0.0377114936709404,0.03659290075302124,436,75,190,standard_letter_request.how_can_i_get_a_replacement_work_pass_ep_ltvp_dependant_pass_s_pass,iflex.what_can_be_claimed_against_iflex,medical.who_can_i_contact_if_i_injured_myself_at_work
2629,alp top break down,compensation.what_is_market_benchmarking,15,212,onboarding.new_hire_profile,0.03586144372820854,0.0196678563952446,0.01570831798017025,212,322,42,onboarding.new_hire_profile,people_hub.how_to_view_org_chart_in_people_hub,general_benefits.5_at_5
2630,technical certification reimbursement,training.training_claims,483,483,training.training_claims,0.19170068204402924,0.14965301752090454,0.07940515130758286,483,473,471,training.training_claims,training.how_to_submit_gesp_claim,training.how_to_enrol_for_certificate_of_commercial_credit
2631,how to re submit the reject investment declaration,payroll.how_to_submit_my_investment_declaration,241,241,payroll.how_to_submit_my_investment_declaration,0.7619677186012268,0.10501981526613235,0.005140447523444891,241,242,236,payroll.how_to_submit_my_investment_declaration,payroll.how_to_submit_my_investment_proofs,payroll.how_to_change_my_mpf_investment_fund_choices
2632,do not submit my investment proof yet,payroll.how_to_submit_my_investment_proofs,242,242,payroll.how_to_submit_my_investment_proofs,0.8759592771530151,0.03417055681347847,0.0020333505235612392,242,241,410,payroll.how_to_submit_my_investment_proofs,payroll.how_to_submit_my_investment_declaration,staff_info_update.how_can_i_change_my_salary_crediting_account
2633,torso policy,payroll.what_is_the_orso_vesting_scale,280,205,onboarding.dress_code,0.04822966456413269,0.03813335299491882,0.03318104147911072,205,174,454,onboarding.dress_code,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,training.dbs_academy_rooms
2634,calculation of payment in lieu of notice,payroll.how_to_compute_salary-in-lieu_of_notice,238,238,payroll.how_to_compute_salary-in-lieu_of_notice,0.8045812845230103,0.05497218668460846,0.010627311654388905,238,194,283,payroll.how_to_compute_salary-in-lieu_of_notice,offboarding.can_i_offset_my_notice_period,payroll.when_will_i_get_my_pay
2635,how do i refer my friend,employee_referral_programme.one_name_each_guide,31,31,employee_referral_programme.one_name_each_guide,0.9352824091911316,0.004163495264947414,0.002507769037038088,31,312,431,employee_referral_programme.one_name_each_guide,people_hub.how_to_update_contact_info_in_people_hub,standard_letter_request.can_i_request_dbs_to_generate_testimonial
2636,pd ye set the basis for compensation determination complete the pd ye on time for timely payment of bonus,compensation.how_to_access_the_year-end_comp_review,8,8,compensation.how_to_access_the_year-end_comp_review,0.41993340849876404,0.09681614488363266,0.023362215608358383,8,353,1,compensation.how_to_access_the_year-end_comp_review,performance_and_development.how_to_complete_manager_yer_evaluation,compensation.cannot_view_year-end_comp_review
2637,bonus detail,payroll.when_is_our_bonus_credited,282,274,payroll.what_is_my_bonus_pay_out_computation,0.2620795965194702,0.12788957357406616,0.07381527125835419,274,282,7,payroll.what_is_my_bonus_pay_out_computation,payroll.when_is_our_bonus_credited,compensation.how_is_the_group_and_unit_bonus_pool_determined
2638,medical claim,medical.how_to_cancel_or_amend_medical_claim,167,171,medical.how_to_submit_medical_claim,0.9353256225585938,0.02018718235194683,0.004955172073096037,171,177,174,medical.how_to_submit_medical_claim,medical.medical_claim_status,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_
2639,apply pm childcare leave,people_hub.do_i_need_to_indicate_am_or_pm_for_half_day_leave_application,291,140,leave.can_i_take_leave,0.7513200640678406,0.09481964260339737,0.018452363088726997,140,150,151,leave.can_i_take_leave,leave.leave_guidelines,leave.leaves_of_direct_reports
2640,apply childcare leave pm,people_hub.do_i_need_to_indicate_am_or_pm_for_half_day_leave_application,291,140,leave.can_i_take_leave,0.844247579574585,0.05036407709121704,0.015546640381217003,140,150,151,leave.can_i_take_leave,leave.leave_guidelines,leave.leaves_of_direct_reports
2641,report to retrieve dividends/cash distribution account from valor,iprivileges.personal_credit_cards_application,116,392,shares.dividends_from_ishares,0.4256885349750519,0.017806805670261383,0.013918564654886723,392,107,124,shares.dividends_from_ishares,iprivileges.eligibility_for_staff_banking_privileges,iprivileges.what_are_the_preferential_interest_rates_for_employees
2642,check recontact phone eligibility,iprivileges.dbs_staff_promotion,105,417,staff_info_update.update_contact_info_and_address,0.23080307245254517,0.1609838306903839,0.11698967963457108,417,318,62,staff_info_update.update_contact_info_and_address,people_hub.how_to_update_national_id_or_government_id_in_people_hub,iflex.can_i_know_what_is_my_iflex_entitlement
2643,how do i access email in server,people_hub.how_to_update_national_id_or_government_id_in_people_hub,318,51,general_benefits.who_is_my_hr_rm,0.4142909049987793,0.07442561537027359,0.05428580194711685,51,312,290,general_benefits.who_is_my_hr_rm,people_hub.how_to_update_contact_info_in_people_hub,people_hub.dbs_people_hub
